AUT_ID,AUT_FNAME,AUT_LNAME,AUT_INITIAL,AUT_EMAIL,AUT_PHONE
100,Lacie,Aloise,n,Lacie.Aloise@publisher.com,1441557009
101,Netty,Croix,e,Netty.Croix@publisher.com,1016307081
102,Dennie,Matthew,l,Dennie.Matthew@publisher.com,7233589855
103,Rosanne,Norvol,l,Rosanne.Norvol@publisher.com,7823665319
104,Sybille,Publia,p,Sybille.Publia@publisher.com,1644582515
105,Hayley,Ricki,e,Hayley.Ricki@publisher.com,9177129175
106,Ernesta,Haerr,o,Ernesta.Haerr@publisher.com,4419128131
107,Almeta,Harday,a,Almeta.Harday@publisher.com,1654212431
108,Brianna,Helve,j,Brianna.Helve@publisher.com,2188911246
109,Roxane,Noelyn,o,Roxane.Noelyn@publisher.com,6671509311
